Date,Open,High,Low,Close,Adj Close,Volume
07-11-2024,1008,1025.5,1007.049988,1020.799988,1020.799988,11983571
06-11-2024,973.7999878,992.5499878,966.6500244,987.0999756,987.0999756,14828702
03-11-2024,1034.75,1035.949951,1021,1028,1024.837402,7502450
01-11-2024,813.5,817.5,808.450012,815.650024,815.650024,11075167
09-10-2024,1049,1049,1032.199951,1035.800049,1035.800049,6919238
07-10-2024,1015,1019.849976,986.0499878,1005.5,1005.5,13412206
06-10-2024,977,984.9000244,969.0999756,975.1500244,972.1500244,9258931
05-10-2024,1037,1050.349976,1030.400024,1046.650024,1043.430054,13383183
04-10-2024,1012.25,1021,1010,1013.5,1010.382019,4554077
01-10-2024,800,811,792.6500244,808.4500122,805.9628906,9980044
09-09-2024,1049.349976,1049.949951,1026.25,1038.699951,1038.699951,7206054
08-09-2024,1055,1082.949951,1052.050049,1068.099976,1068.099976,15443008
07-09-2024,1000.950012,1017,998.0999756,1014.950012,1014.950012,10948094
05-09-2024,1011,1043.199951,1007.299988,1030.300049,1027.130371,19189798
04-09-2024,1021,1029.5,1005,1008.5,1005.3974,8539041
02-09-2024,926,927.4000244,906.0499878,915,912.1850586,7904881
01-09-2024,799.9500122,809.2000122,793.1500244,799.7999878,797.3394775,12872757
30-08-2024,1113.949951,1115,1097.449951,1111.349976,1111.349976,17647545
29-08-2024,1079.050049,1142,1066,1121.650024,1121.650024,40658159
28-08-2024,1082.949951,1088.699951,1070.099976,1074.550049,1074.550049,8145376
27-08-2024,1093.050049,1096.650024,1075,1077.25,1077.25,8813305
26-08-2024,1089,1103.349976,1082.849976,1092.400024,1092.400024,9415039
23-08-2024,1073,1092.599976,1071,1085.150024,1085.150024,10179655
22-08-2024,1090,1094.75,1064.949951,1068.449951,1068.449951,9377476
21-08-2024,1089,1095.300049,1083.300049,1085.199951,1085.199951,4869876
20-08-2024,1097,1098.050049,1082.050049,1086.900024,1086.900024,5625723
19-08-2024,1105.900024,1107,1085,1087.699951,1087.699951,6911441
16-08-2024,1072,1099.949951,1070,1098.349976,1098.349976,11435650
14-08-2024,1057,1067.050049,1047,1062.349976,1062.349976,8211830
13-08-2024,1074.849976,1075.5,1048.199951,1053.449951,1053.449951,7508231
08-08-2024,1034.949951,1056.400024,1027,1041.75,1041.75,19529790
07-08-2024,1005,1016.599976,996.2000122,1002.599976,1002.599976,13312085
05-08-2024,986.9500122,1015,977,1012.099976,1008.986328,7519352
04-08-2024,1010.049988,1016.400024,1004,1013.200012,1010.082947,5188052
02-08-2024,937,939.7000122,918.7999878,924.2999878,921.4564209,11576253
01-08-2024,798.400024,800.349976,787.5,789.099976,789.099976,7668471
31-07-2024,1164,1167.900024,1145.300049,1156.650024,1156.650024,10860623
30-07-2024,1125.800049,1179,1118.599976,1161.849976,1161.849976,28592304
29-07-2024,1124,1139.900024,1118.599976,1124,1124,11850624
26-07-2024,1111.949951,1120.5,1083.599976,1118.300049,1118.300049,21232845
25-07-2024,1029,1094,1024.349976,1090.949951,1090.949951,32766835
24-07-2024,997.7999878,1034.25,995.1500244,1027.699951,1027.699951,11469098
23-07-2024,1007.900024,1008.650024,967.2000122,1001.799988,1001.799988,10384177
22-07-2024,990,1008,976.5499878,1003.150024,1003.150024,7396198
19-07-2024,1024,1024,986.6500244,990,990,7400178
18-07-2024,1022.950012,1027,1008,1024.550049,1024.550049,8010324
16-07-2024,1025.5,1029.599976,1019.200012,1021.150024,1021.150024,4824555
15-07-2024,1021.349976,1029.800049,1017.299988,1024.449951,1024.449951,5847297
08-07-2024,1036.050049,1040.199951,1015.049988,1025.300049,1025.300049,9978703
06-07-2024,940,973,935.25,970.5,967.5143433,15577866
05-07-2024,1016.200012,1017.950012,982.0499878,988.5499878,985.5087891,8877426
03-07-2024,1025,1047,1014.049988,1039.300049,1036.102661,16877082
02-07-2024,944,944,928.0499878,933.7999878,930.9271851,7913010
28-06-2024,975,998.5,972.5499878,989.75,989.75,23025267
27-06-2024,952.5,974.8499756,948.0499878,972.0999756,972.0999756,19385412
26-06-2024,956,962.5,950.0999756,951.8499756,951.8499756,6908988
25-06-2024,960,962.8499756,949.2999878,955,955,7304128
24-06-2024,960.9000244,963.5,950.0499878,958.0499878,958.0499878,6655577
21-06-2024,979,980.9000244,958.0999756,961.7999878,961.7999878,14303735
20-06-2024,980,988.4000244,976.3499756,978.25,978.25,7299571
19-06-2024,990,994.9000244,975.1500244,977.3499756,977.3499756,7605719
18-06-2024,1000,1003.549988,984,985.9000244,985.9000244,9845075
14-06-2024,990,997.25,981.4000244,993.4000244,993.4000244,11591421
13-06-2024,1002,1002,980.75,985.8499756,985.8499756,12157226
09-06-2024,1068.800049,1072.949951,1040.5,1049.349976,1049.349976,8717377
08-06-2024,1030,1060.650024,1008.400024,1013.75,1013.75,16726393
06-06-2024,940,946,931.2000122,938.25,935.3635254,11792640
05-06-2024,1015,1019.799988,1005,1016.200012,1013.07373,5724760
03-06-2024,1025,1030.650024,1009,1017.650024,1014.519287,14214823
02-06-2024,936.4000244,941.2999878,928.4000244,939.5499878,936.6595459,12714803
31-05-2024,931.6500244,937.25,920.0999756,923,920.1604614,14289102
30-05-2024,943.5,951.4500122,921,923.9500122,921.1075439,10170912
29-05-2024,946.9500122,950.5,938.7999878,943.5999756,940.6970825,8184019
28-05-2024,959,961.9000244,946,947.5499878,944.6348877,6618946
27-05-2024,964.9000244,966.4500122,952,958.5,955.5512085,6916555
24-05-2024,962.5,970.9500122,958,960.5499878,957.5949097,9590588
23-05-2024,950,963.4500122,945.0499878,962.3499756,959.3893433,11211074
22-05-2024,952,954.9000244,942.5499878,947.5,944.585083,9495279
21-05-2024,954,956.6500244,948.7000122,951.2999878,948.3733521,10055258
17-05-2024,944,953.4000244,941,945.7000122,942.7906494,13205512
16-05-2024,953.2000122,954.4000244,919,936.4000244,933.5192261,31240770
15-05-2024,970.9500122,972.9500122,945.0999756,947.2999878,944.3856812,19668239
14-05-2024,965.0999756,968,953.25,964.6500244,961.682312,16325689
13-05-2024,1005,1008.700012,947.2000122,959.75,956.7973633,58974762
09-05-2024,1081,1085.849976,1066.949951,1069.150024,1069.150024,7900593
08-05-2024,1059.949951,1065,1014.049988,1016.450012,1016.450012,26651144
07-05-2024,1005,1006.599976,989.9500122,993.6500244,993.6500244,9050375
06-05-2024,924.9500122,933.75,890,929.9500122,927.0891113,13752553
04-05-2024,1011.599976,1012.5,1004.400024,1007.099976,1004.001709,4519120
03-05-2024,1027,1065.599976,1005.349976,1021.900024,1018.756226,59811033
02-05-2024,934,950,915.3499756,926.7999878,923.9487305,38686871
